quest|answer|point|grade|match_code|notice|math|physics|chemistry|biology|literature|history|geography|english|other|calculating|video
"Vào thế kỉ thứ XVI, Robert Recorde là người đã phát minh ký hiệu toán học nào mà ngày nay được chúng ta sử dụng khi viết các phương trình?"|"Dấu bằng"|twenty|9|112||1||||||||||
"Đền Ka Kông, thôn Lỗ Khê, xã Liên Hà, huyện Đông Anh, Hà Nội. Đây là đền thờ hai vị tổ nghề của một bộ môn nghệ thuật ở nước ta. Bộ môn này thịnh hành từ thế kỉ XV, từng là loại ca trong cung đình và được giới quý tộc và trí thức yêu thích. Đây là kiệt tác truyền khẩu và phi vật thể của nhân loại, là một sự phối hợp nhuần nhuyễn, đỉnh cao giữa thi ca và âm nhạc. Các tác phẩm nổi tiếng có thể kể đến như: Trần ai tri kỉ, Tự tình, Tì bà hành. Hãy cho biết bộ môn nghệ thuật này có tên là gì?"|"Ca trù"|twenty|13|112||||||||||1||1
"Loại gió nào thổi nhẹ, hơi lạnh và khô, được nhà văn Băng Sơn mô tả là ""có làn gió ... về mới thật là có mùa thu""?"|"Gió heo may"|twenty|9|112|"Lớp 3"|||||1||||||
"Trong một năm dương lịch không nhuận, nếu ngày 01/01 là ngày thứ sáu thì ngày 31/12 cùng năm là ngày thứ mấy?"|"Thứ sáu"|thirty|13|112||1|||||||||1|
"Chadwick Boseman đã thủ vai siêu anh hùng nào trong Vũ trụ điện ảnh Marvel?"|"Black Panther"|ten|13|112||||||||||1||
"Trong một bài ca dao xưa có hai câu: ""Bao giờ cho đến tháng ba/ ... / Một chục quả hồng nuốt lão tám mươi"". Bằng kiến thức sinh học, bạn hãy chỉ ra yếu tố không chính xác về mặt thời gian trong các câu trên?"|"Tháng ba (âm lịch) không có quả hồng"|twenty|13|112|"Có thể suy ra đáp án từ câu hỏi"||||1|||||||
"Hội chứng ""Mèo kêu"" là do loại đột biến cấu trúc nhiễm sắc thể nào gây nên?"|"Mất đoạn (trên NST số 5)"|thirty|12|112|||||1|||||||
"Ai là người đã đưa ra các thuật ngữ ""Tính trạng trội"", ""Tính trạng lặn"" trong di truyền học?"|Men-đen|ten|12|112|||||1|||||||
"Đây là lời giải thích cho công trình quan trọng nào ở nước ta: ""Mục đích đầu tiên khi xây dựng là để trị thủy sông Đà, rồi mới đến vấn đề năng lượng. Trị thủy sông Đà nghĩa là trị thủy sông Hồng, cắt lũ cho đồng bằng Bắc Bộ, bảo vệ Thủ đô""?"|"Thủy điện Hòa Bình"|ten|13|112||||||||1||||
"Nhà giáo ưu tú nào là tác giả của hồi ký ""Tôi đi học"", là tấm gương về sự cố gắng vượt qua số phận khi dùng chân để viết chữ và theo đuổi con đường học vấn?"|"Nguyễn Ngọc Ký"|ten|13|112||||||||||1||
"Một người đi từ tầng một (tầng sát mặt đất) lên tầng sáu của một tòa nhà cao tầng thì phải đi qua bao nhiêu bậc thang, biết rằng khi lên đến tầng ba của tòa nhà thì người đó đã đi qua 52 bậc thang và số bậc thang ở mỗi tầng là như nhau?"|130|thirty|13|113|"52 / 2 * 5"|1|||||||||1|
"Hai câu ca: ""... ai đắp mà cao/ Sông Gianh ai bới, ai đào mà sâu"" và ""Khôn ngoan qua được Thanh Hà/ Dẫu rằng có cánh khó qua ..."" nhắc tới công trình lịch sử nào?"|"Lũy Thầy"|ten|13|113|||||||1|||||
"Theo giai thoại, nhà khoa học nào khi đứng trước tòa án Giáo hội đã dũng cảm khẳng định lại nhận định của mình: ""Dù sao Trái Đất vẫn quay""?"|Galileo|ten|13|113||||||||1||1||
"Người nông dân duy trì chất lượng giống lúa bằng cách chọn các cây tốt (có bông và hạt tốt) để làm giống cho vụ sau. Đây là phương pháp chọn lọc nào?"|"Chọn lọc hàng loạt"|ten|12|113|||||1|||||||
"Ai là thủ lĩnh có uy tín nhất trong phong trào Cần Vương ở Nghệ - Tĩnh?"|"Phan Đình Phùng"|ten|11|113|||||||1|||||
"Cho hai số, biết tổng của chúng bằng 156, nếu lấy số lớn chia cho số nhỏ thì được thương là 6 và dư 9. Hãy tìm số nhỏ?"|21|twenty|13|113|"a   b = 156; a - 6b = 9"|1|||||||||1|
"Một số đoạn của sông Mê-Kong là biên giới tự nhiên giữa Lào và những quốc gia nào?"|"Myanmar, Thái Lan"|twenty|11|113||||||||1||||
"Hiện tượng nào ở lá giúp cho lá khỏi bị đốt nóng dưới ánh nắng Mặt Trời?"|"Thoát hơi nước"|ten|11|113|||||1|||||||
"Đây là những vần thơ thể hiện khí phách kiên cường của ai khi lâm cảng lao tù: ""Bủa tay ôm chặt bồ kinh tế/ Mở miệng cười tan cuộc oán thù/ Thân ấy vẫn còn, còn sự nghiệp/ Bao nhiêu nguy hiểm sợ gì đâu""?"|"Phan Bội Châu"|twenty|9|113|"Lớp 8"|||||1||||||
"Các hang động ở vịnh Hạ Long được biết đến là nơi quy tụ gần như đầy đủ các dạng cơ bản của loại địa hình đá vôi nào?"|Cax-tơ|twenty|11|113||||||||1||||
"Axit sulfuric loãng có thể phản ứng với hầu hết các kim loại đứng phía bên trái hidro trong dãy hoạt động hóa học của kim loại, trừ kim loại nào?"|"Chì (Pb)"|twenty|11|113||||1||||||||
"Đây là những câu thơ ca ngợi vẻ đẹp của vùng đất nào: ""Những dòng sông rộng hơn ngàn thước/ Trùng điệp một màu xanh lá đước/ Đước thân cao vút, rễ ngang mình/ Trổ xuống nghìn tay, ôm đất nước""?"|"Cà Mau"|thirty|11|113||||||1||||||
"11/7/1987 là ngày sinh của Matej Gaspar - công dân thứ 5 tỉ của Trái Đất. Về sau, 11/7 hàng năm đã được Liên Hiệp Quốc chọn là ngày gì nhằm kêu gọi sự chú ý của toàn thế giới vào những vấn đề cấp bách của con người?"|"Ngày dân số thế giới"|twenty|13|121||||||||||1|1|
"What is the maximum pieces a watermelon can be cut into with only 10 cuts?"|1024|twenty|13|121|2^10|1|||||||1||1|1
"Ở kinh thành Huế có chín khẩu thần công đã được công nhận là bảo vật quốc gia. Bốn khẩu đặt gần cửa Thể Nhơn có tên gọi là Xuân, Hạ, Thu, Đông. Năm khẩu còn lại đặt gần cửa Quảng Đức, được đặt theo tên của năm yếu tố chi phối vạn vật theo quan niệm xưa. Tên của năm khẩu này là gì?"|"Kim, Mộc, Thủy, Hỏa, Thổ"|twenty|13|121|||||||1|||||
"Thuật ngữ ""Văn học trung đại"", ở Việt Nam, đã được dùng để chỉ văn học nước ta trong những thế kỉ nào?"|"Từ thế kỉ X đến hết thế kỉ XIX"|twenty|10|121|"Chính xác phải là ""đến HẾT thế kỉ XIX"""|||||1||||||
"Bột NaHCO3, dd HCl, cốc chứa ngọn nến đang cháy. Đổ nhanh dd HCl vào cốc chứa bột NaHCO3, rót hỗn hợp trong cốc trên vào thành cốc chứa ngọn nến đang cháy. Sau khi đổ, ta thấy nến tắt. Hãy giải thích."|"NaHCO3   HCl tạo ra khí CO2 không duy trì sự cháy"|twenty|11|121||||1||||||||1
"Độ tuổi gọi nhập ngũ theo Luật nghĩa vụ quân sự năm 2015 quy định là từ đủ bao nhiêu tuổi đến hết bao nhiêu tuổi?"|"Từ đủ 18 đến hết 25"|twenty|11|121||||||||||1||
"Mị Châu - Trọng Thủy là con gái và con rể của vua Hùng thứ mấy?"|"Của An Dương Vương chứ không phải vua Hùng"|twenty|10|121|||||||1|||||
"Ruột thừa là do phần nào của ruột già bị thoái hóa?"|"Manh tràng"|twenty|12|121|||||1|||||||
"Với cây đinh ba mang sức mạnh siêu phàm, vị thần nào trong thần thoại Hy Lạp là chủ nhân của biển cả?"|Poseidon|thirty|13|121||||||||||1||
"Khu bảo tồn thiên nhiên đất ngập nước Tam Giang - Cầu Hai nằm ở tỉnh nào?"|"Thừa Thiên Huế"|twenty|13|121||||||||1||||
"Trong kháng chiến chống quân Mông - Nguyên lần thứ III, Trần Khánh Dư đã chỉ huy quân đội Đại Việt đánh đắm thuyền lương của địch trong trận đánh nào?"|"Trận Vân Đồn"|twenty|9|121|||||||1|||||
"When you're writing all the integers from one to one hundred, how many times is '1' used?"|21|twenty|13|121||1|||||||1||1|1
"Thắng lợi của cuộc cách mạng nào đã mở ra Thời đại Hồ Chí Minh vô cùng rực rỡ trong lịch sử dân tộc ta?"|"Cách mạng Tháng Tám 1945"|ten|12|122|||||||1|||1||
"Vườn quốc gia nào đã được xác lập kỉ lục trong nước ""Vườn quốc gia thả rùa con về biển nhiều nhất Việt Nam"", và là thành viên chính thức của Mạng lưới các khu bảo tồn rùa biển IOSEA?"|"Côn Đảo"|twenty|13|122|"Cập nhật thời sự"|||||||1||1||
"Tính chất vật lý gì của kim cương khiến cho khi bị chiếu sáng, nó có màu sắc rực rỡ hơn hẳn các vật liệu khác?"|"Tính chiết suất cao"|thirty|11|122|||1|||||||||
"Vào giây thức 3661 của một ngày bất kì trong năm tương ứng với mấy giờ mấy phút mấy giây?"|"1 giờ 1 phút 1 giây"|ten|13|122||1|||||||||1|
"Loài cúc nào thường nở rộ vào đầu đông ở Hà Nội, có tên trùng với tên của một loài chim nổi tiếng về tiếng hót?"|"Cúc họa mi"|ten|13|122||||||||||1||
"Nơi an nghỉ cuối cùng của nhà thơ Trần Tế Xương. Cuộc đời ông chỉ sống được có 37 năm nhưng học hành thi cử đến 8 lần mới đỗ Tú tài, mọi việc ở nhà đều là một tay của bà Tú gánh vác, chính vì vậy Tú Xương rất trân trọng vợ mình. Ông sáng tác một bài thơ với những câu như sau như một sự tri ân: ""Một duyên hai nợ âu đành phận/ Năm nắng mười mưa dám quản công/ Cha mẹ thói đời ăn ở bạc/ Có chồng hờ hững cũng như không"". Hãy cho biết tên bài thơ, và nó được làm theo thể thơ nào?"|"Thương vợ, thất ngôn bát cú"|twenty|11|122||||||1||||||1
"Vùng trung tâm của những thành phố Hà Nội, Tp. Hồ Chí Minh, Đà Nẵng, Cần Thơ lần lượt nằm bên bờ của những con sông nào? "|"Sông Hồng, sông Sài Gòn, sông Hàn, sông Hậu"|thirty|13|122||||||||1||||
"After World War II, this was the period of geopolitical tension that occurs between the Soviet Union and the United States, and their respective allies, the Eastern block, and the Western block. What is it name?"|"The Cold War"|thirty|12|122|"Chiến tranh lạnh"||||||1||1|||1
"Tên gọi của khí hiếm nào bắt nguồn từ một từ trong tiếng Hy Lạp mang nghĩa là lười hoặc bất động?"|"Argon (Ar)"|thirty|13|122||||1||||||||
"Năm 1961 đánh dấu sự ra đời của loại máy móc đặc biệt nào với chức năng được ví như ""Một nhân công đơn giản bằng thép""?"|Robot|twenty|13|122|||||||1|||1||
"Vào mùa hạ, gió Tây Nam từ vùng vịnh nào thổi tới mang mưa tới cho khu vực Trường Sơn Tây?"|"Vịnh Bengal"|twenty|12|122||||||||1||||
"Hai loại đường nào chiếm hàm lượng chủ yếu trong thành phần cacbonhidrat của mật ong?"|"Glucozo, fructozo"|ten|12|122||||1||||||||
"Tác phẩm ""Ai tư vãn"" nói lên tiếng lòng của ai?"|"Công chúa Ngọc Hân"|twenty|13|123||||||1|1|||||
"Máy biến áp hoạt động dựa trên ứng dụng định luật cảm ứng điện từ mang tên nhà khoa học nào?"|Faraday|ten|11|123|||1|||||||||
"Quốc gia nào đã sản sinh ra những thiên tài âm nhạc như Haydn, Mozart, Schubert, Strauss,...?"|Áo|ten|13|123||||||||||1||
"""Thưa anh, em cũng muốn khôn mà khôn không được. Đụng đến việc là em thở rồi, không còn hơi sức đâu mà đào bới nữa"" là câu nói của nhân vật nào trong tác phẩm Dế mèn phiêu lưu kí của nhà văn Tô Hoài?"|"Dế Choắt"|ten|9|123||||||1||||||
"Tứ giác Long Xuyên thuộc Vùng đồng bằng sông Cửu Long nằm trên địa phận của hai tỉnh nào?"|"An Giang, Kiên Giang"|twenty|13|123||||||||1||||
"Every 4 years, the summer Olympic Game takes place. It's the fun time to watch the whole best athlete competing for their home country. Where did the Olympic Game originate?"|Greece|thirty|13|123|||||||||1|1||1
"Mù màu (đỏ - xanh lục) ở người là một bệnh di truyền do đột biến gen nằm trên cặp nhiễm sắc thể nào?"|"Giới tính"|twenty|12|123|||||1|||||||
"Đại Việt sử kí toàn thư ghi chép về cuộc phản công lớn ở địa danh nào vào năm 1258 như sau: ""Ngày 24, vua và Thái tử ngự lâu thuyền, tiến quân đến ..., đón đánh, cả phá được quân giặc. Quân Nguyên chạy trốn""?"|"Đông Bộ Đầu"|twenty|9|123|||||||1|||||
"Nguyên tố khoáng nào có chức năng chủ yếu giữ cân bằng nước và ion trong tế bào?"|Kali|twenty|11|123|||||1|||||||
"Ở châu Âu, thời đại nào trải dài chủ yếu trong hai thế kỉ XV và XVI, mà giá trị cốt lõi là chủ nghĩa nhân văn, giải phóng con người khỏi xiềng xích phong kiến và giáo hội trung cổ?"|"Thời kì Phục hưng"|ten|10|123|||||||1|||||
"Để xác định giống có thuần chủng hay không ta cần phải thực hiện phép lai nào?"|"Lai phân tích"|ten|12|123|||||1|||||||
"Một trong những cơ sở quan trọng giúp nhóm tác giả Ngô Sĩ Liên biên soạn Đại Việt sử kí toàn thư ở thế kỉ XV là bộ sử 30 quyển nào được hoàn thành năm 1272?"|"Đại Việt sử kí"|ten|10|123|||||||1|||||
"Trong bài thơ ""Thăm Pác Bó"" (1964), nhà thơ Xuân Diệu viết: ""Rau măng cháo bẹ dâng Người/ Ngày ra bờ suối, tối thời vào hang"". Hai câu thơ này lấy cảm hứng từ hai câu thơ nào của Bác?"|"Sáng ra bờ suối tối vào hang/ Cháo bẹ rau măng vẫn sẵn sàng"|ten|9|131||||||1||||||
"The Nobel Prize is one of the most prestigious award in the world. In fields such as physics, chemistry, phisiology, maths, which fiels is not a Nobel Prize?"|Maths|twenty|13|131|||||||||1|1||1
"Trong quá trình muối dưa chuột, các vi khuẩn có lợi sinh enzyme biến đổi tinh bột trong dưa chuột thành axit nào?"|"Axit lactic"|ten|10|131|||||1|||||||
"Một khu đất có diện tích 3 ha. Người ta đã sử dụng 3/10 diện tích đất để trồng rau, 5/10 diện tích đất để đào ao thả cá. Hỏi còn lại bao nhiêu ha?"|0.6|ten|13|131||1|||||||||1|
"""Chiếu này ban xuống, các bậc quan viên lớn nhỏ, cùng với thứ dân trăm họ, người nào có tài năng học thuật, mưu hay hơn đời, cho phép được dâng sớ tâu bày sự việc"". Đây là câu trích trong chiếu nào của vua Quang Trung?"|"Chiếu cầu hiền"|ten|11|131||||||1||||||
"Albert Einstein được trao giải Nobel Vật lý năm 1921 nhờ khám phá ra định luật của hiện tượng vật lý gì?"|"Quang điện"|twenty|12|131|||1|||||||||
"Bài thơ sau được Bác viết năm nào: ""Bảy mươi tư tuổi vẫn không già/ Cố gắng làm tròn nhiệm vụ ta/ Bao giờ Nam Bắc một nhà/ Dân giàu nước mạnh thì ta vui lòng""?"|1964|ten|13|131||1||||1|||||1|
"Từ 1 đến 100 có bao nhiêu số chia hết cho 3?"|33|twenty|13|131||1|||||||||1|
"Hình ảnh ""Bóng trăng loe"" xuất hiện trong bài thơ nào của nhà thơ Nguyễn Khuyến?"|"Thu ẩm"|twenty|11|131||||||1||||||
"Ai là người đã đưa ra và nêu cao lí tưởng: ""Trừ độc, trừ tham, trừ bạo ngược/ Có nhân, có trí, có anh hùng""?"|"Nguyễn Trãi"|twenty|10|131||||||1||||||
"Vận chuyển thụ động, vận chuyển chủ động, nhập bào và xuất bào là các cách chủ yếu để vận chuyển các chất qua thành phần nào của tế bào nhân thực?"|"Màng sinh chất"|twenty|10|131|||||1|||||||
"Thay các chữ cái trong dấu ngoặc kép bởi các chữ số (chữ cái khác nhau thì thay bằng các chữ số khác nhau) sao cho kết quả các phép tính trong dấu ngoặc kép đạt giá trị lớn nhất: ""CHUC   MUNG   THAY   CO   NHAN   NGAY - 20 - 11"". Tìm giá trị chữ cái C?"|8|thirty|13|131|"Vì N xuất hiện ở những hàng cao nhất và nhiều nhất nên N = 9, C = 8, ..."|1|||||||||1|
"Nên chui xuống gầm bàn để phòng tránh những vật thể rơi xuống do rung lắc là một trong những chỉ dẫn thường được đưa ra nhằm đối phó với hiện tượng tự nhiên nào?"|"Động đất"|ten|9|132||||||||||1||
"Yếu tố nào trong thân cây gỗ giúp ta biết được tuổi của cây?"|"Số vòng trên thân cây/ số vân cây"|ten|9|132|||||1|||||||
"Quần đảo Hải Tặc thuộc tỉnh nào ở nước ta?"|"Kiên Giang"|ten|12|132||||||||1||||
"There is a special type of clothing that makes people float in water. It keeps the head above the water so they can breathe. We often wear this item when taking a boat trip or exitting the plane. What is this item?"|"Life vest"|twenty|13|132|||||||||1|||1
"Dẫn mẫu khí thải của một nhà máy qua dung dịch Pb(NO3)2 dư thì thấy xuất hiện kết tủa màu đen. Hiện tượng đó chứng tỏ trong khí thải nhà máy có khí gì?"|H2S|twenty|12|132||||1||||||||
"Biểu tượng được dùng để biểu thị sự khoan dung và tinh thần đoàn kết với người nhiễm HIV là gì?"|"Ruy-băng đỏ"|thirty|13|132||||||||||1||
"Căn cứ vào hình thái cơ thể, các nhà khoa học đã chia dân cư thế giới thành ba chủng tộc chính, đó là những chủng tộc nào?"|"Môn-gô-lô-it, Nê-gro-it, Ơ-rô-pê-ô-it"|twenty|9|132||||||||1|||1|
"Trên bề mặt hiển thị của một chiếc đồng hồ điện tử (cài đặt theo chế độ 24h), với con số chỉ giờ và phút đều có hai chữ số, vào thời điểm nào trong ngày, tổng các chữ số chỉ giờ và phút là lớn nhất?"|19h59|thirty|13|132||1|||||||||1|
"Cung thi đấu thể thao Quần Ngựa, Hà Nội. Vào ngày 10/10/1954, có một đơn vị quân đội đã xuất phát từ đây tiến vào thành cổ Hà Nội để tiếp quản Thủ đô. Đại tướng Võ Nguyên Giáp đã nói về đơn vị này như sau: ""Là tượng trưng cho bộ đội của một dân tộc nhược tiểu quyết tâm không muốn làm nô lệ, và đã ngang nhiên chống lại quân đội hùng mạnh của một nước đế quốc chỉ nghĩa. Nhà văn, nhạc sĩ Nguyễn Đình Thi đã viết bài hát Người Hà Nội để tặng các chiến sĩ của đơn vị này. Đơn vị quân đội này có biệt danh là gì?"|"Trung đoàn Thủ đô"|thirty|12|132|||||||1|||||1
"Những câu ""Đánh cho Mỹ cút, đánh cho Ngụy nhào/ Tiến lên! Chiến sĩ, đồng bào/ Bắc - Nam sum họp xuân nào vui hơn"" nằm trong bài thơ chúc Tết năm nào của Bác?"|1969|thirty|9|132||||||1|1|||||
"Tác phẩm nào sáng tác vào khoảng nửa đầu thế kỉ XVI, là đỉnh cao đánh dấu bước trưởng thành đột khởi của truyện ngắn Việt Nam thời trung đại?"|"Truyền kì mạn lục"|thirty|10|132||||||1||||||
"Nitinol là hợp kim có tính dẫn điện và gia công cơ khí rất tốt. Bạn hãy cho biết đây là hợp kim của titan và kim loại nào?"|Niken|thirty|12|132||||1||||||||
"Hợp chất nào của hidro và oxy được dùng làm chất sát trùng trong y khoa?"|"Oxi già (H2O2)"|ten|10|133||||1||||||||
"""Quân dung đâu mới lạ thường/ Mũ mão áo đỏ chật đường kéo ra..."" là chi tiết trong ""Đại Nam quốc sử diễn ca"" thể hiện khí thế của đội quân nào trên đường tiến công đại phá giặc Thanh?"|"Tây Sơn"|ten|10|133|||||||1|||||
"Trong hệ tiêu hóa ở người, đoạn đầu ruột non cong hình chữ U có tên gọi là gì?"|"Tá tràng"|twenty|9|133|||||1|||||||
"Hai trận đánh nào được nhắc đến trong những câu sau: ""... máu chảy thành sông, thây trôi vạn dặm/ ... thây chất đầy nội, nhơ để ngàn năm""?"|"Ninh Kiều, Tốt Động"|twenty|9|133||||||1||||||
"Cơ thể người thiếu vitamin nào sẽ dẫn đến rối loạn chuyển hóa gây bệnh tê phù, suy tim, giãn mạch ngoại biên, viêm dây thần kinh?"|B1|thirty|9|133|||||1|||||||
"Tổng của hai số là số chẵn lớn nhất có 4 chữ số. Tìm hai số đó biết hiệu của hai số đó là số bé nhất có 4 chữ số?"|"5499, 4499"|twenty|13|133||1|||||||||1|
"Người ta dùng phương pháp lai nào để kết hợp giữa tạo ưu thế lai và tạo giống mới ở cây trồng?"|"Lai khác thứ"|twenty|12|133|||||1|||||||
"AQI is the system for the translating often confusing and ... polluted concentration level into one easy-to-understand scale, to clearly represent the health risk post to public health by .... The risk to public health increases as AQI increases. What does AQI stand for?"|"Air Quality Index"|thirty|13|133|||||||||1|||1
"Ai là người có công đầu phát hiện và khai thác vẻ đẹp của núi Non Nước ở Ninh Bình và là người đầu tiên lưu bút tích một bài thơ cho các thi sĩ đến thưởng ngạn, ngắm cảnh, làm thơ?"|"Trương Hán Siêu"|twenty|10|133||||||1||||||
"Trong hệ thống phân loại 5 giới sinh vật của Whittaker và Margulis, những giới nào chỉ bao gồm các sinh vật dị dưỡng?"|"Nấm, Động vật"|twenty|10|133|||||1|||||||
"Thầy Dũng được nhận một số quyển vở và phát cho lớp 1/3 số vở đó. Sau đó thầy lại mua thêm 50 quyển vở. Lúc này số vở thầy đã phát ít hơn 8 quyển so với số thầy mua thêm. Hỏi ban đầu thầy Dũng nhận được bao nhiêu quyển vở?"|126|twenty|13|133||1|||||||||1|
"Lăng mộ của một nhân vật lịch sử nằm tại phố Giảng Võ, thành phố Hà Nội. Năm 18 tuổi, cha mẹ qua đời, ông đã nối nghiệp cha làm quan lang ở Đường Lâm. Ông là lãnh tụ của cuộc nổi dậy chống lại ách đô hộ của nhà Đường thời Bắc thuộc trong lịch sử Việt Nam. Sau này cuộc khởi nghĩa của ông thành công và chiếm được thành Tống Bình. Ông là ai?"|"Phùng Hưng"|thirty|10|133|||||||1|||||1
